TRINITY_DN1000_c10_g1	noncoding
TRINITY_DN102_c1_g1	NEO
TRINITY_DN12013_c0_g1	FOR
TRINITY_DN1314_c0_g4	noncoding
TRINITY_DN1364_c1_g3	noncoding
TRINITY_DN1395_c2_g1	HYM
TRINITY_DN142_c0_g1	HOL
TRINITY_DN14423_c0_g1	species-specific
TRINITY_DN1478_c1_g2	noncoding
TRINITY_DN1511_c0_g1	PAL
TRINITY_DN1613_c1_g1	species-specific
TRINITY_DN1637_c10_g1	FOR
TRINITY_DN1640_c0_g1	PAL
TRINITY_DN17316_c1_g1	noncoding
TRINITY_DN178_c1_g2	HYM
TRINITY_DN1806_c0_g2	noncoding
TRINITY_DN1964_c0_g1	PAL
TRINITY_DN2051_c0_g1	FOR
TRINITY_DN2056_c1_g1	HOL
TRINITY_DN2378_c2_g3	NEO
TRINITY_DN24934_c0_g1	noncoding
TRINITY_DN2556_c0_g1	species-specific
TRINITY_DN260_c2_g1	FOR
TRINITY_DN2673_c0_g1	HYM
TRINITY_DN2743_c0_g1	species-specific
TRINITY_DN2743_c0_g2	PAL
TRINITY_DN2804_c0_g1	noncoding
TRINITY_DN3066_c2_g2	HYM
TRINITY_DN3100_c0_g1	NEO
TRINITY_DN3117_c0_g1	HYM
TRINITY_DN3166_c0_g1	FOR
TRINITY_DN3218_c0_g1	HYM
TRINITY_DN3347_c1_g1	HYM
TRINITY_DN3438_c0_g1	HYM
TRINITY_DN352_c1_g2	HYM
TRINITY_DN3593_c0_g1	NEO
TRINITY_DN368_c9_g2	noncoding
TRINITY_DN383_c1_g1	FOR
TRINITY_DN3885_c0_g1	noncoding
TRINITY_DN3919_c0_g1	NEO
TRINITY_DN401_c9_g2	HYM
TRINITY_DN4028_c0_g1	HYM
TRINITY_DN4225_c0_g1	HYM
TRINITY_DN4289_c2_g1	HYM
TRINITY_DN4456_c0_g1	HYM
TRINITY_DN4611_c0_g1	MYR
TRINITY_DN4671_c0_g3	FOR
TRINITY_DN488_c1_g3	HYM
TRINITY_DN5325_c0_g1	HYM
TRINITY_DN5331_c0_g1	PAL
TRINITY_DN5390_c1_g1	noncoding
TRINITY_DN55296_c0_g1	species-specific
TRINITY_DN552_c0_g1	HYM
TRINITY_DN5625_c0_g1	noncoding
TRINITY_DN562_c1_g1	PAL
TRINITY_DN585_c0_g2	species-specific
TRINITY_DN6326_c0_g1	PAL
TRINITY_DN6422_c0_g1	noncoding
