GO.ID	Term	Annotated	Significant	Expected	test
GO:0000724	double-strand break repair via homologou...	40	11	2.99	0.00012
GO:0007097	nuclear migration	23	8	1.72	0.00017
GO:0006974	cellular response to DNA damage stimulus	220	44	16.45	0.00020
GO:0051726	regulation of cell cycle	249	39	18.62	0.00023
GO:0016070	RNA metabolic process	1439	226	107.59	0.00031
GO:0001510	RNA methylation	38	10	2.84	0.00035
GO:0006364	rRNA processing	114	34	8.52	0.00041
GO:0000470	maturation of LSU-rRNA	20	7	1.5	0.00041
GO:0031935	regulation of chromatin silencing	26	8	1.94	0.00043
GO:0007140	male meiotic nuclear division	55	12	4.11	0.00060
GO:0043484	regulation of RNA splicing	63	15	4.71	0.00075
GO:0045448	mitotic cell cycle, embryonic	28	8	2.09	0.00075
GO:1905269	positive regulation of chromatin organiz...	29	8	2.17	0.00097
GO:0043933	protein-containing complex subunit organ...	492	59	36.79	0.00098
GO:0045892	negative regulation of transcription, DN...	261	39	19.52	0.00106
GO:0010501	RNA secondary structure unwinding	23	7	1.72	0.00107
GO:0016458	gene silencing	137	26	10.24	0.00119
GO:0018205	peptidyl-lysine modification	119	29	8.9	0.00144
GO:0000469	cleavage involved in rRNA processing	18	6	1.35	0.00145
GO:0022607	cellular component assembly	897	97	67.07	0.00151
GO:0000184	nuclear-transcribed mRNA catabolic proce...	19	6	1.42	0.00198
GO:0046621	negative regulation of organ growth	19	6	1.42	0.00198
GO:0006338	chromatin remodeling	73	19	5.46	0.00207
GO:0042254	ribosome biogenesis	169	46	12.64	0.00208
GO:0070192	chromosome organization involved in meio...	33	8	2.47	0.00241
GO:0098534	centriole assembly	20	6	1.5	0.00266
GO:0010467	gene expression	1696	252	126.81	0.00278
GO:0051053	negative regulation of DNA metabolic pro...	21	6	1.57	0.00349
GO:0070828	heterochromatin organization	35	8	2.62	0.00358
GO:0070897	transcription preinitiation complex asse...	15	5	1.12	0.00366
GO:0006892	post-Golgi vesicle-mediated transport	28	7	2.09	0.00372
GO:0051298	centrosome duplication	28	7	2.09	0.00372
GO:0006997	nucleus organization	51	10	3.81	0.00392
GO:0040029	regulation of gene expression, epigeneti...	131	24	9.79	0.00417
GO:0000723	telomere maintenance	36	8	2.69	0.00431
GO:0032508	DNA duplex unwinding	60	11	4.49	0.00437
GO:0010608	posttranscriptional regulation of gene e...	140	28	10.47	0.00457
GO:0007281	germ cell development	522	60	39.03	0.00493
GO:0045930	negative regulation of mitotic cell cycl...	53	10	3.96	0.00522
GO:0006367	transcription initiation from RNA polyme...	45	9	3.36	0.00532
GO:0007098	centrosome cycle	51	13	3.81	0.00546
GO:0000154	rRNA modification	23	6	1.72	0.00571
GO:0007294	germarium-derived oocyte fate determinat...	23	6	1.72	0.00571
GO:0016325	oocyte microtubule cytoskeleton organiza...	23	6	1.72	0.00571
GO:0061982	meiosis I cell cycle process	76	16	5.68	0.00576
GO:0031324	negative regulation of cellular metaboli...	471	68	35.22	0.00582
GO:0007127	meiosis I	38	8	2.84	0.00611
GO:0045132	meiotic chromosome segregation	38	8	2.84	0.00611
GO:0006302	double-strand break repair	64	17	4.79	0.00663
GO:0007143	female meiotic nuclear division	31	7	2.32	0.00680
GO:0045944	positive regulation of transcription by ...	199	25	14.88	0.00690
GO:0090502	RNA phosphodiester bond hydrolysis, endo...	47	9	3.51	0.00715
GO:0035317	imaginal disc-derived wing hair organiza...	47	9	3.51	0.00715
GO:2001251	negative regulation of chromosome organi...	39	8	2.92	0.00720
GO:0042273	ribosomal large subunit biogenesis	45	13	3.36	0.00839
GO:0030855	epithelial cell differentiation	305	39	22.8	0.00852
GO:0035065	regulation of histone acetylation	18	5	1.35	0.00867
GO:0006289	nucleotide-excision repair	25	6	1.87	0.00882
GO:0006368	transcription elongation from RNA polyme...	25	6	1.87	0.00882
GO:0035825	homologous recombination	25	6	1.87	0.00882
GO:0051301	cell division	256	30	19.14	0.00884
GO:0012501	programmed cell death	289	33	21.61	0.00909
GO:0006260	DNA replication	113	16	8.45	0.00950
GO:0010605	negative regulation of macromolecule met...	546	81	40.82	0.00972
GO:0000381	regulation of alternative mRNA splicing,...	41	8	3.07	0.00980
GO:0048515	spermatid differentiation	76	12	5.68	0.01016
GO:0034968	histone lysine methylation	38	13	2.84	0.01050
GO:0044786	cell cycle DNA replication	26	6	1.94	0.01076
GO:1903827	regulation of cellular protein localizat...	50	9	3.74	0.01078
GO:0032784	regulation of DNA-templated transcriptio...	19	5	1.42	0.01106
GO:0030317	flagellated sperm motility	19	5	1.42	0.01106
GO:0022402	cell cycle process	399	67	29.83	0.01111
GO:0010564	regulation of cell cycle process	125	17	9.35	0.01132
GO:0002065	columnar/cuboidal epithelial cell differ...	240	28	17.94	0.01186
GO:0022618	ribonucleoprotein complex assembly	106	15	7.93	0.01189
GO:0042326	negative regulation of phosphorylation	60	10	4.49	0.01264
GO:0051656	establishment of organelle localization	151	25	11.29	0.01268
GO:0033157	regulation of intracellular protein tran...	27	6	2.02	0.01298
GO:0030261	chromosome condensation	43	8	3.22	0.01305
GO:0071826	ribonucleoprotein complex subunit organi...	117	16	8.75	0.01310
GO:0051172	negative regulation of nitrogen compound...	441	64	32.97	0.01322
GO:0006904	vesicle docking involved in exocytosis	20	5	1.5	0.01386
GO:0098876	vesicle-mediated transport to the plasma...	20	5	1.5	0.01386
GO:0097722	sperm motility	20	5	1.5	0.01386
GO:0000075	cell cycle checkpoint	52	9	3.89	0.01386
GO:0007286	spermatid development	70	11	5.23	0.01404
GO:0022613	ribonucleoprotein complex biogenesis	244	57	18.24	0.01446
GO:0006915	apoptotic process	233	27	17.42	0.01449
GO:0051641	cellular localization	762	85	56.97	0.01470
GO:0010558	negative regulation of macromolecule bio...	307	47	22.95	0.01555
GO:0010468	regulation of gene expression	1101	159	82.32	0.01573
