GO.ID	Term	Annotated	Significant	Expected	test
GO:0007635	chemosensory behavior	74	2	0.12	0.0056
GO:0030534	adult behavior	124	2	0.19	0.0151
GO:0007059	chromosome segregation	128	2	0.2	0.0161
GO:0009057	macromolecule catabolic process	404	3	0.63	0.0216
GO:1901072	glucosamine-containing compound cataboli...	15	1	0.02	0.0231
GO:0046348	amino sugar catabolic process	15	1	0.02	0.0231
GO:0031058	positive regulation of histone modificat...	16	1	0.02	0.0246
GO:0050916	sensory perception of sweet taste	16	1	0.02	0.0246
GO:0043277	apoptotic cell clearance	16	1	0.02	0.0246
GO:0043967	histone H4 acetylation	16	1	0.02	0.0246
GO:0050912	detection of chemical stimulus involved ...	17	1	0.03	0.0261
GO:0007424	open tracheal system development	169	2	0.26	0.0271
GO:0040013	negative regulation of locomotion	18	1	0.03	0.0277
GO:0016575	histone deacetylation	18	1	0.03	0.0277
GO:0007160	cell-matrix adhesion	18	1	0.03	0.0277
GO:0000466	maturation of 5.8S rRNA from tricistroni...	18	1	0.03	0.0277
GO:0000469	cleavage involved in rRNA processing	18	1	0.03	0.0277
GO:0031060	regulation of histone methylation	18	1	0.03	0.0277
GO:0051260	protein homooligomerization	19	1	0.03	0.0292
GO:0090503	RNA phosphodiester bond hydrolysis, exon...	19	1	0.03	0.0292
GO:0006476	protein deacetylation	19	1	0.03	0.0292
GO:0060541	respiratory system development	179	2	0.28	0.0301
GO:0006026	aminoglycan catabolic process	21	1	0.03	0.0322
GO:0043486	histone exchange	21	1	0.03	0.0322
GO:0007584	response to nutrient	21	1	0.03	0.0322
GO:0035601	protein deacylation	22	1	0.03	0.0337
GO:0051607	defense response to virus	22	1	0.03	0.0337
GO:0033627	cell adhesion mediated by integrin	23	1	0.04	0.0352
GO:0000460	maturation of 5.8S rRNA	23	1	0.04	0.0352
GO:0098732	macromolecule deacylation	23	1	0.04	0.0352
GO:0034285	response to disaccharide	24	1	0.04	0.0367
GO:0051705	multi-organism behavior	24	1	0.04	0.0367
GO:0043628	ncRNA 3'-end processing	24	1	0.04	0.0367
GO:0016073	snRNA metabolic process	25	1	0.04	0.0382
GO:0009615	response to virus	25	1	0.04	0.0382
GO:0016339	calcium-dependent cell-cell adhesion via...	26	1	0.04	0.0397
GO:0007614	short-term memory	26	1	0.04	0.0397
GO:1901264	carbohydrate derivative transport	26	1	0.04	0.0397
GO:0007157	heterophilic cell-cell adhesion via plas...	26	1	0.04	0.0397
GO:0031589	cell-substrate adhesion	28	1	0.04	0.0427
GO:1905269	positive regulation of chromatin organiz...	29	1	0.05	0.0442
GO:0009743	response to carbohydrate	31	1	0.05	0.0472
GO:0032259	methylation	232	2	0.36	0.0485
GO:0006030	chitin metabolic process	32	1	0.05	0.0487
GO:0043632	modification-dependent macromolecule cat...	235	2	0.37	0.0496
