GO.ID	Term	Annotated	Significant	Expected	test
GO:0055088	lipid homeostasis	55	6	1.1	0.00073
GO:0034440	lipid oxidation	24	4	0.48	0.00118
GO:0043161	proteasome-mediated ubiquitin-dependent ...	153	11	3.05	0.00440
GO:0046883	regulation of hormone secretion	18	3	0.36	0.00508
GO:0097502	mannosylation	18	3	0.36	0.00508
GO:0071702	organic substance transport	622	26	12.4	0.00511
GO:0016192	vesicle-mediated transport	458	21	9.13	0.00535
GO:0035011	melanotic encapsulation of foreign targe...	19	3	0.38	0.00594
GO:0019915	lipid storage	37	4	0.74	0.00599
GO:0072657	protein localization to membrane	83	6	1.65	0.00605
GO:1901800	positive regulation of proteasomal prote...	38	4	0.76	0.00660
GO:0006643	membrane lipid metabolic process	60	5	1.2	0.00664
GO:0016197	endosomal transport	85	6	1.69	0.00678
GO:0030433	ubiquitin-dependent ERAD pathway	20	3	0.4	0.00689
GO:0008654	phospholipid biosynthetic process	61	5	1.22	0.00712
GO:0031532	actin cytoskeleton reorganization	21	3	0.42	0.00792
GO:0010921	regulation of phosphatase activity	22	3	0.44	0.00904
GO:0032102	negative regulation of response to exter...	22	3	0.44	0.00904
GO:0015031	protein transport	350	14	6.98	0.00972
GO:0046496	nicotinamide nucleotide metabolic proces...	43	4	0.86	0.01022
GO:0019362	pyridine nucleotide metabolic process	43	4	0.86	0.01022
GO:0070328	triglyceride homeostasis	23	3	0.46	0.01025
GO:0080134	regulation of response to stress	182	9	3.63	0.01030
GO:0007173	epidermal growth factor receptor signali...	67	5	1.34	0.01051
GO:0038127	ERBB signaling pathway	67	5	1.34	0.01051
GO:0006898	receptor-mediated endocytosis	44	4	0.88	0.01107
GO:0055090	acylglycerol homeostasis	24	3	0.48	0.01154
GO:0009306	protein secretion	46	4	0.92	0.01291
GO:0071985	multivesicular body sorting pathway	26	3	0.52	0.01441
GO:0032509	endosome transport via multivesicular bo...	26	3	0.52	0.01441
GO:0033036	macromolecule localization	706	31	14.07	0.01783
GO:0046434	organophosphate catabolic process	51	4	1.02	0.01832
GO:0031399	regulation of protein modification proce...	271	11	5.4	0.01911
GO:1903052	positive regulation of proteolysis invol...	39	5	0.78	0.01947
GO:0010876	lipid localization	117	9	2.33	0.01948
GO:0072524	pyridine-containing compound metabolic p...	52	4	1.04	0.01955
GO:0006869	lipid transport	79	5	1.57	0.02032
GO:0019363	pyridine nucleotide biosynthetic process	31	3	0.62	0.02318
GO:0019359	nicotinamide nucleotide biosynthetic pro...	31	3	0.62	0.02318
GO:0006733	oxidoreduction coenzyme metabolic proces...	55	4	1.1	0.02353
GO:0002790	peptide secretion	57	4	1.14	0.02644
GO:0042593	glucose homeostasis	33	3	0.66	0.02733
GO:2000060	positive regulation of ubiquitin-depende...	33	3	0.66	0.02733
GO:0006497	protein lipidation	34	3	0.68	0.02955
GO:0072659	protein localization to plasma membrane	35	3	0.7	0.03186
GO:0042158	lipoprotein biosynthetic process	35	3	0.7	0.03186
GO:1905952	regulation of lipid localization	35	3	0.7	0.03186
GO:0072525	pyridine-containing compound biosyntheti...	35	3	0.7	0.03186
GO:0007167	enzyme linked receptor protein signaling...	222	9	4.42	0.03289
GO:0055076	transition metal ion homeostasis	36	3	0.72	0.03427
GO:0051240	positive regulation of multicellular org...	189	8	3.77	0.03474
GO:0048259	regulation of receptor-mediated endocyto...	15	2	0.3	0.03495
GO:1901570	fatty acid derivative biosynthetic proce...	15	2	0.3	0.03495
GO:0035337	fatty-acyl-CoA metabolic process	15	2	0.3	0.03495
GO:0061448	connective tissue development	15	2	0.3	0.03495
GO:0032940	secretion by cell	177	10	3.53	0.03593
GO:0006811	ion transport	454	15	9.05	0.03617
GO:0048193	Golgi vesicle transport	92	5	1.83	0.03620
GO:0006665	sphingolipid metabolic process	37	3	0.74	0.03676
GO:0031175	neuron projection development	416	14	8.29	0.03711
GO:0032501	multicellular organismal process	2527	61	50.36	0.03716
GO:0007254	JNK cascade	64	4	1.28	0.03827
GO:0048520	positive regulation of behavior	16	2	0.32	0.03943
GO:0033500	carbohydrate homeostasis	39	3	0.78	0.04202
GO:0042157	lipoprotein metabolic process	39	3	0.78	0.04202
GO:0051050	positive regulation of transport	96	5	1.91	0.04228
GO:0006732	coenzyme metabolic process	129	6	2.57	0.04361
GO:0006891	intra-Golgi vesicle-mediated transport	17	2	0.34	0.04411
GO:0015908	fatty acid transport	17	2	0.34	0.04411
GO:0015909	long-chain fatty acid transport	17	2	0.34	0.04411
GO:0006458	'de novo' protein folding	17	2	0.34	0.04411
GO:0030301	cholesterol transport	17	2	0.34	0.04411
GO:0015696	ammonium transport	17	2	0.34	0.04411
GO:0043666	regulation of phosphoprotein phosphatase...	17	2	0.34	0.04411
GO:0006109	regulation of carbohydrate metabolic pro...	17	2	0.34	0.04411
GO:0051403	stress-activated MAPK cascade	67	4	1.34	0.04413
GO:2000058	regulation of ubiquitin-dependent protei...	40	3	0.8	0.04479
GO:0030198	extracellular matrix organization	40	3	0.8	0.04479
GO:0007169	transmembrane receptor protein tyrosine ...	164	7	3.27	0.04511
GO:0044419	interspecies interaction between organis...	41	3	0.82	0.04764
GO:0032502	developmental process	1986	49	39.58	0.04772
GO:0005975	carbohydrate metabolic process	239	9	4.76	0.04884
GO:0034097	response to cytokine	18	2	0.36	0.04899
