GO.ID	test
GO:0043388	0.019
GO:0030202	0.019
GO:0009396	0.019
GO:0034063	0.019
GO:0031053	0.019
GO:0034085	0.019
GO:0030727	0.019
GO:0032775	0.019
GO:0071786	0.019
GO:0035999	0.019
GO:0007294	0.019
GO:0090502	0.022
GO:0032007	0.025
GO:0019563	0.025
GO:0034502	0.025
GO:0000290	0.025
GO:0035076	0.031
GO:0006094	0.031
GO:0030513	0.031
GO:0097352	0.031
GO:0007064	0.031
GO:0090263	0.037
GO:0035065	0.037
GO:0035176	0.037
GO:1901071	0.037
GO:0015012	0.037
GO:0006072	0.043
GO:0006024	0.043
GO:0019236	0.043
GO:0035070	0.049
GO:0045880	0.049
GO:0016319	0.049
GO:0106074	0.049
GO:0030488	0.049
