GO.ID	Term	Annotated	Significant	Expected	test
GO:0006355	regulation of transcription, DNA-templat...	525	74	50.55	0.00033
GO:1901606	alpha-amino acid catabolic process	23	8	2.21	0.00093
GO:0007424	open tracheal system development	52	13	5.01	0.00099
GO:0008582	regulation of synaptic growth at neuromu...	24	8	2.31	0.00128
GO:0007015	actin filament organization	67	15	6.45	0.00142
GO:0030097	hemopoiesis	26	8	2.5	0.00228
GO:0009855	determination of bilateral symmetry	11	5	1.06	0.00229
GO:0051146	striated muscle cell differentiation	21	7	2.02	0.00258
GO:0031325	positive regulation of cellular metaboli...	258	39	24.84	0.00265
GO:0033500	carbohydrate homeostasis	16	6	1.54	0.00267
GO:0060562	epithelial tube morphogenesis	82	20	7.9	0.00321
GO:0040013	negative regulation of locomotion	12	5	1.16	0.00362
GO:0007560	imaginal disc morphogenesis	60	13	5.78	0.00392
GO:0071310	cellular response to organic substance	121	21	11.65	0.00524
GO:0051241	negative regulation of multicellular org...	42	10	4.04	0.00543
GO:0031324	negative regulation of cellular metaboli...	186	29	17.91	0.00581
GO:0023061	signal release	36	9	3.47	0.00584
GO:0048477	oogenesis	92	17	8.86	0.00607
GO:0006464	cellular protein modification process	794	109	76.45	0.00616
GO:1902531	regulation of intracellular signal trans...	100	18	9.63	0.00640
GO:0050767	regulation of neurogenesis	57	12	5.49	0.00699
GO:0009725	response to hormone	57	12	5.49	0.00699
GO:0007548	sex differentiation	19	6	1.83	0.00705
GO:0048608	reproductive structure development	19	6	1.83	0.00705
GO:0051336	regulation of hydrolase activity	86	16	8.28	0.00715
GO:0007431	salivary gland development	25	7	2.41	0.00759
GO:0022604	regulation of cell morphogenesis	44	10	4.24	0.00768
GO:0046486	glycerolipid metabolic process	72	14	6.93	0.00777
GO:0007391	dorsal closure	14	5	1.35	0.00778
GO:0007166	cell surface receptor signaling pathway	267	38	25.71	0.00832
GO:0051962	positive regulation of nervous system de...	38	9	3.66	0.00850
GO:0031329	regulation of cellular catabolic process	66	13	6.35	0.00909
GO:0001708	cell fate specification	20	6	1.93	0.00927
GO:0033993	response to lipid	26	7	2.5	0.00955
GO:0006164	purine nucleotide biosynthetic process	74	14	7.12	0.00992
GO:0120039	plasma membrane bounded cell projection ...	97	17	9.34	0.01035
GO:0044093	positive regulation of molecular functio...	97	17	9.34	0.01035
GO:0048858	cell projection morphogenesis	97	17	9.34	0.01035
GO:0030182	neuron differentiation	169	26	16.27	0.01039
GO:0007167	enzyme linked receptor protein signaling...	82	15	7.9	0.01058
GO:0002065	columnar/cuboidal epithelial cell differ...	46	10	4.43	0.01060
GO:0002066	columnar/cuboidal epithelial cell develo...	46	10	4.43	0.01060
GO:0061919	process utilizing autophagic mechanism	60	12	5.78	0.01060
GO:0006914	autophagy	60	12	5.78	0.01060
GO:0097659	nucleic acid-templated transcription	588	86	56.61	0.01068
GO:0048663	neuron fate commitment	15	5	1.44	0.01076
GO:0001700	embryonic development via the syncytial ...	24	9	2.31	0.01086
GO:0007423	sensory organ development	90	16	8.67	0.01108
GO:1903530	regulation of secretion by cell	33	8	3.18	0.01112
GO:0051046	regulation of secretion	33	8	3.18	0.01112
GO:0051965	positive regulation of synapse assembly	10	4	0.96	0.01113
GO:0046854	phosphatidylinositol phosphorylation	10	4	0.96	0.01113
GO:0046834	lipid phosphorylation	10	4	0.96	0.01113
GO:1904398	positive regulation of neuromuscular jun...	10	4	0.96	0.01113
GO:0051961	negative regulation of nervous system de...	27	7	2.6	0.01184
GO:0019751	polyol metabolic process	27	7	2.6	0.01184
GO:0009952	anterior/posterior pattern specification	27	7	2.6	0.01184
GO:0048880	sensory system development	76	14	7.32	0.01251
GO:0032990	cell part morphogenesis	99	17	9.53	0.01263
GO:0051174	regulation of phosphorus metabolic proce...	99	17	9.53	0.01263
GO:0019220	regulation of phosphate metabolic proces...	99	17	9.53	0.01263
GO:0065009	regulation of molecular function	303	47	29.17	0.01269
GO:0048667	cell morphogenesis involved in neuron di...	92	16	8.86	0.01360
GO:0002009	morphogenesis of an epithelium	109	26	10.49	0.01363
GO:0051172	negative regulation of nitrogen compound...	173	26	16.66	0.01389
GO:0000904	cell morphogenesis involved in different...	100	17	9.63	0.01391
GO:0043085	positive regulation of catalytic activit...	77	14	7.41	0.01398
GO:0048666	neuron development	132	21	12.71	0.01407
GO:0009152	purine ribonucleotide biosynthetic proce...	70	13	6.74	0.01479
GO:0006468	protein phosphorylation	286	39	27.54	0.01496
GO:0007517	muscle organ development	22	6	2.12	0.01512
GO:0051130	positive regulation of cellular componen...	101	17	9.72	0.01528
GO:0031175	neuron projection development	109	18	10.49	0.01542
GO:0061564	axon development	78	14	7.51	0.01559
GO:0032774	RNA biosynthetic process	599	87	57.67	0.01569
GO:0031123	RNA 3'-end processing	35	8	3.37	0.01590
GO:0016575	histone deacetylation	11	4	1.06	0.01618
GO:0042706	eye photoreceptor cell fate commitment	11	4	1.06	0.01618
GO:0001752	compound eye photoreceptor fate commitme...	11	4	1.06	0.01618
GO:0034620	cellular response to unfolded protein	11	4	1.06	0.01618
GO:0007476	imaginal disc-derived wing morphogenesis	42	9	4.04	0.01646
GO:0030707	ovarian follicle cell development	42	9	4.04	0.01646
GO:0009168	purine ribonucleoside monophosphate bios...	42	9	4.04	0.01646
GO:0009127	purine nucleoside monophosphate biosynth...	42	9	4.04	0.01646
GO:0035120	post-embryonic appendage morphogenesis	49	10	4.72	0.01646
GO:0006351	transcription, DNA-templated	584	85	56.23	0.01660
