GO.ID	Term	Annotated	Significant	Expected	test
GO:0000398	mRNA splicing, via spliceosome	162	36	19.46	0.00015
GO:0009062	fatty acid catabolic process	25	10	3	0.00036
GO:0006458	'de novo' protein folding	17	8	2.04	0.00038
GO:0007030	Golgi organization	61	17	7.33	0.00061
GO:0002183	cytoplasmic translational initiation	18	8	2.16	0.00061
GO:0043412	macromolecule modification	1120	165	134.56	0.00166
GO:0006364	rRNA processing	114	25	13.7	0.00184
GO:0006281	DNA repair	181	35	21.75	0.00269
GO:0006271	DNA strand elongation involved in DNA re...	18	7	2.16	0.00339
GO:0034613	cellular protein localization	401	75	48.18	0.00397
GO:0006413	translational initiation	90	25	10.81	0.00399
GO:0032456	endocytic recycling	28	9	3.36	0.00413
GO:0032008	positive regulation of TOR signaling	24	8	2.88	0.00528
GO:0090068	positive regulation of cell cycle proces...	29	9	3.48	0.00537
GO:0042273	ribosomal large subunit biogenesis	45	12	5.41	0.00554
GO:0033365	protein localization to organelle	157	30	18.86	0.00624
GO:0048584	positive regulation of response to stimu...	334	60	40.13	0.00632
GO:0006612	protein targeting to membrane	20	7	2.4	0.00665
GO:0065002	intracellular protein transmembrane tran...	20	7	2.4	0.00665
GO:1903362	regulation of cellular protein catabolic...	52	13	6.25	0.00715
GO:0034622	cellular protein-containing complex asse...	354	78	42.53	0.00784
GO:0090066	regulation of anatomical structure size	214	38	25.71	0.00807
GO:0051603	proteolysis involved in cellular protein...	242	42	29.07	0.00828
GO:0042274	ribosomal small subunit biogenesis	53	13	6.37	0.00846
GO:0009100	glycoprotein metabolic process	102	21	12.25	0.00880
GO:0072593	reactive oxygen species metabolic proces...	26	8	3.12	0.00903
GO:1903050	regulation of proteolysis involved in ce...	49	12	5.89	0.01134
GO:0006626	protein targeting to mitochondrion	17	6	2.04	0.01134
GO:0072655	establishment of protein localization to...	17	6	2.04	0.01134
GO:0030258	lipid modification	55	13	6.61	0.01164
GO:0019395	fatty acid oxidation	22	7	2.64	0.01181
GO:0019941	modification-dependent protein catabolic...	227	39	27.27	0.01258
GO:0032386	regulation of intracellular transport	50	12	6.01	0.01334
GO:0043632	modification-dependent macromolecule cat...	235	40	28.23	0.01347
GO:0007005	mitochondrion organization	119	23	14.3	0.01351
GO:0044267	cellular protein metabolic process	1542	260	185.26	0.01416
GO:0009451	RNA modification	81	17	9.73	0.01443
GO:0042181	ketone biosynthetic process	28	8	3.36	0.01446
GO:0061136	regulation of proteasomal protein catabo...	45	11	5.41	0.01524
GO:0000302	response to reactive oxygen species	23	7	2.76	0.01526
GO:0010647	positive regulation of cell communicatio...	298	53	35.8	0.01528
GO:0023056	positive regulation of signaling	298	53	35.8	0.01528
GO:0070585	protein localization to mitochondrion	18	6	2.16	0.01532
GO:0006635	fatty acid beta-oxidation	18	6	2.16	0.01532
GO:0009101	glycoprotein biosynthetic process	88	18	10.57	0.01560
GO:0034728	nucleosome organization	57	13	6.85	0.01568
GO:0006979	response to oxidative stress	95	19	11.41	0.01664
GO:2000058	regulation of ubiquitin-dependent protei...	40	10	4.81	0.01734
GO:0006511	ubiquitin-dependent protein catabolic pr...	218	37	26.19	0.01777
GO:1901564	organonitrogen compound metabolic proces...	2349	363	282.21	0.01783
GO:0030510	regulation of BMP signaling pathway	29	8	3.48	0.01792
GO:0036211	protein modification process	1033	145	124.11	0.01866
GO:0006464	cellular protein modification process	1033	145	124.11	0.01866
GO:0034470	ncRNA processing	192	41	23.07	0.01893
GO:0034440	lipid oxidation	24	7	2.88	0.01937
GO:0051299	centrosome separation	19	6	2.28	0.02017
GO:1901989	positive regulation of cell cycle phase ...	19	6	2.28	0.02017
GO:0098728	germline stem cell asymmetric division	19	6	2.28	0.02017
GO:0006352	DNA-templated transcription, initiation	59	13	7.09	0.02070
GO:0060627	regulation of vesicle-mediated transport	117	22	14.06	0.02092
GO:0045732	positive regulation of protein catabolic...	53	12	6.37	0.02096
GO:0071840	cellular component organization or bioge...	2195	330	263.71	0.02192
GO:0010770	positive regulation of cell morphogenesi...	30	8	3.6	0.02194
GO:0006399	tRNA metabolic process	98	19	11.77	0.02268
GO:0006886	intracellular protein transport	244	48	29.31	0.02310
GO:1903364	positive regulation of cellular protein ...	42	10	5.05	0.02415
GO:0006289	nucleotide-excision repair	25	7	3	0.02419
GO:0008592	regulation of Toll signaling pathway	15	5	1.8	0.02648
GO:0072599	establishment of protein localization to...	15	5	1.8	0.02648
GO:0006486	protein glycosylation	80	16	9.61	0.02659
GO:0032434	regulation of proteasomal ubiquitin-depe...	37	9	4.45	0.02778
GO:0033206	meiotic cytokinesis	37	9	4.45	0.02778
GO:0045184	establishment of protein localization	364	64	43.73	0.02783
GO:0007517	muscle organ development	87	17	10.45	0.02803
GO:0070646	protein modification by small protein re...	49	11	5.89	0.02808
