GO.ID	Term	Annotated	Significant	Expected	test
GO:0030163	protein catabolic process	266	9	2.93	0.0025
GO:1901991	negative regulation of mitotic cell cycl...	35	3	0.39	0.0065
GO:0006665	sphingolipid metabolic process	37	3	0.41	0.0077
GO:0016310	phosphorylation	626	14	6.9	0.0078
GO:0045746	negative regulation of Notch signaling p...	38	3	0.42	0.0082
GO:0016579	protein deubiquitination	38	3	0.42	0.0082
GO:0051985	negative regulation of chromosome segreg...	15	2	0.17	0.0115
GO:0008610	lipid biosynthetic process	179	6	1.97	0.0138
GO:0051784	negative regulation of nuclear division	17	2	0.19	0.0147
GO:0048017	inositol lipid-mediated signaling	18	2	0.2	0.0164
GO:0043412	macromolecule modification	1120	22	12.35	0.0166
GO:0022414	reproductive process	829	16	9.14	0.0171
GO:1901564	organonitrogen compound metabolic proces...	2349	41	25.9	0.0172
GO:0010631	epithelial cell migration	137	5	1.51	0.0173
GO:0090132	epithelium migration	138	5	1.52	0.0178
GO:0035209	pupal development	19	2	0.21	0.0182
GO:0010256	endomembrane system organization	140	5	1.54	0.0188
GO:0000075	cell cycle checkpoint	52	3	0.57	0.0193
GO:0090130	tissue migration	142	5	1.57	0.0199
GO:0033866	nucleoside bisphosphate biosynthetic pro...	20	2	0.22	0.0201
GO:0034030	ribonucleoside bisphosphate biosynthetic...	20	2	0.22	0.0201
GO:0034033	purine nucleoside bisphosphate biosynthe...	20	2	0.22	0.0201
GO:0030071	regulation of mitotic metaphase/anaphase...	20	2	0.22	0.0201
GO:0035277	spiracle morphogenesis, open tracheal sy...	20	2	0.22	0.0201
GO:0000003	reproduction	847	16	9.34	0.0207
GO:0019538	protein metabolic process	1900	34	20.95	0.0214
GO:1902099	regulation of metaphase/anaphase transit...	21	2	0.23	0.0220
GO:0071840	cellular component organization or bioge...	2195	33	24.2	0.0225
GO:0001667	ameboidal-type cell migration	149	5	1.64	0.0239
GO:0030148	sphingolipid biosynthetic process	22	2	0.24	0.0240
GO:0035601	protein deacylation	22	2	0.24	0.0240
GO:0016050	vesicle organization	101	4	1.11	0.0250
GO:0000086	G2/M transition of mitotic cell cycle	23	2	0.25	0.0261
GO:0098732	macromolecule deacylation	23	2	0.25	0.0261
GO:0043161	proteasome-mediated ubiquitin-dependent ...	153	5	1.69	0.0264
GO:0007091	metaphase/anaphase transition of mitotic...	24	2	0.26	0.0283
GO:0048609	multicellular organismal reproductive pr...	737	14	8.13	0.0291
GO:0006807	nitrogen compound metabolic process	3960	56	43.66	0.0299
GO:0036211	protein modification process	1033	20	11.39	0.0302
GO:0006464	cellular protein modification process	1033	20	11.39	0.0302
GO:0044784	metaphase/anaphase transition of cell cy...	25	2	0.28	0.0306
GO:0044839	cell cycle G2/M phase transition	25	2	0.28	0.0306
GO:0010965	regulation of mitotic sister chromatid s...	25	2	0.28	0.0306
GO:0051306	mitotic sister chromatid separation	25	2	0.28	0.0306
GO:0065003	protein-containing complex assembly	404	9	4.45	0.0328
GO:1905818	regulation of chromosome separation	26	2	0.29	0.0329
GO:0010498	proteasomal protein catabolic process	164	5	1.81	0.0343
GO:0007297	ovarian follicle cell migration	112	4	1.23	0.0347
GO:0033047	regulation of mitotic sister chromatid s...	27	2	0.3	0.0353
GO:0008299	isoprenoid biosynthetic process	27	2	0.3	0.0353
GO:0032504	multicellular organism reproduction	758	14	8.36	0.0359
GO:0061025	membrane fusion	67	3	0.74	0.0373
GO:0044267	cellular protein metabolic process	1542	26	17	0.0374
GO:0006892	post-Golgi vesicle-mediated transport	28	2	0.31	0.0377
GO:0044238	primary metabolic process	4223	58	46.56	0.0384
GO:0042446	hormone biosynthetic process	29	2	0.32	0.0402
GO:0043933	protein-containing complex subunit organ...	492	10	5.42	0.0428
GO:0016203	muscle attachment	30	2	0.33	0.0428
GO:0048284	organelle fusion	71	3	0.78	0.0432
GO:0044260	cellular macromolecule metabolic process	2970	42	32.74	0.0447
GO:0006066	alcohol metabolic process	72	3	0.79	0.0447
GO:0007275	multicellular organism development	1724	26	19.01	0.0459
GO:0007349	cellularization	74	3	0.82	0.0478
GO:0033045	regulation of sister chromatid segregati...	32	2	0.35	0.0481
GO:0000070	mitotic sister chromatid segregation	75	3	0.83	0.0495
