GO.ID	Term	Annotated	Significant	Expected	test
GO:0007059	chromosome segregation	128	12	3.65	0.00027
GO:0007283	spermatogenesis	159	13	4.54	0.00059
GO:0034660	ncRNA metabolic process	258	21	7.37	0.00064
GO:0006919	activation of cysteine-type endopeptidas...	15	4	0.43	0.00069
GO:0008033	tRNA processing	51	6	1.46	0.00310
GO:0007281	germ cell development	522	26	14.9	0.00360
GO:0032543	mitochondrial translation	38	5	1.08	0.00421
GO:0000280	nuclear division	200	13	5.71	0.00463
GO:0018193	peptidyl-amino acid modification	296	19	8.45	0.00566
GO:0007052	mitotic spindle organization	60	6	1.71	0.00698
GO:0051276	chromosome organization	469	23	13.39	0.00737
GO:0018107	peptidyl-threonine phosphorylation	15	3	0.43	0.00810
GO:0048521	negative regulation of behavior	15	3	0.43	0.00810
GO:0051604	protein maturation	66	6	1.88	0.01101
GO:0050802	circadian sleep/wake cycle, sleep	32	4	0.91	0.01240
GO:0043933	protein-containing complex subunit organ...	492	23	14.05	0.01272
GO:0051321	meiotic cell cycle	156	10	4.45	0.01359
GO:0007286	spermatid development	70	6	2	0.01448
GO:0051301	cell division	256	14	7.31	0.01458
GO:0022410	circadian sleep/wake cycle process	34	4	0.97	0.01531
GO:0006497	protein lipidation	34	4	0.97	0.01531
GO:0050821	protein stabilization	19	3	0.54	0.01586
GO:0051299	centrosome separation	19	3	0.54	0.01586
GO:1901991	negative regulation of mitotic cell cycl...	35	4	1	0.01690
GO:0042158	lipoprotein biosynthetic process	35	4	1	0.01690
GO:0140014	mitotic nuclear division	116	8	3.31	0.01759
GO:1901988	negative regulation of cell cycle phase ...	36	4	1.03	0.01860
GO:0018105	peptidyl-serine phosphorylation	37	4	1.06	0.02040
GO:0031647	regulation of protein stability	37	4	1.06	0.02040
GO:0042745	circadian sleep/wake cycle	37	4	1.06	0.02040
GO:0031330	negative regulation of cellular cataboli...	37	4	1.06	0.02040
GO:0048515	spermatid differentiation	76	6	2.17	0.02099
GO:0031047	gene silencing by RNA	56	5	1.6	0.02123
GO:0071103	DNA conformation change	144	9	4.11	0.02178
GO:0007292	female gamete generation	489	22	13.96	0.02192
GO:0009895	negative regulation of catabolic process	38	4	1.08	0.02231
GO:0045132	meiotic chromosome segregation	38	4	1.08	0.02231
GO:0032006	regulation of TOR signaling	39	4	1.11	0.02432
GO:0042157	lipoprotein metabolic process	39	4	1.11	0.02432
GO:0022412	cellular process involved in reproductio...	607	32	17.33	0.02624
GO:0006418	tRNA aminoacylation for protein translat...	40	4	1.14	0.02644
GO:0035304	regulation of protein dephosphorylation	23	3	0.66	0.02667
GO:0032196	transposition	122	18	3.48	0.02774
GO:0007291	sperm individualization	41	4	1.17	0.02866
GO:0051259	protein complex oligomerization	41	4	1.17	0.02866
GO:0043069	negative regulation of programmed cell d...	82	6	2.34	0.02925
GO:0032008	positive regulation of TOR signaling	24	3	0.69	0.02985
GO:0043523	regulation of neuron apoptotic process	24	3	0.69	0.02985
GO:0007131	reciprocal meiotic recombination	24	3	0.69	0.02985
GO:0090307	mitotic spindle assembly	24	3	0.69	0.02985
GO:0043039	tRNA aminoacylation	42	4	1.2	0.03099
GO:0006807	nitrogen compound metabolic process	3960	145	113.06	0.03132
GO:0035825	homologous recombination	25	3	0.71	0.03323
GO:0031396	regulation of protein ubiquitination	25	3	0.71	0.03323
GO:0043038	amino acid activation	43	4	1.23	0.03343
GO:0006281	DNA repair	181	10	5.17	0.03409
GO:0010467	gene expression	1696	66	48.42	0.03540
GO:0048477	oogenesis	456	20	13.02	0.03568
GO:0018209	peptidyl-serine modification	44	4	1.26	0.03598
GO:0072593	reactive oxygen species metabolic proces...	26	3	0.74	0.03679
GO:0051402	neuron apoptotic process	26	3	0.74	0.03679
GO:0042981	regulation of apoptotic process	176	13	5.03	0.03685
GO:0098813	nuclear chromosome segregation	111	7	3.17	0.03908
GO:0140013	meiotic nuclear division	111	7	3.17	0.03908
GO:1903320	regulation of protein modification by sm...	27	3	0.77	0.04055
GO:0033047	regulation of mitotic sister chromatid s...	27	3	0.77	0.04055
GO:0006399	tRNA metabolic process	98	10	2.8	0.04127
GO:0006261	DNA-dependent DNA replication	67	5	1.91	0.04186
GO:0006260	DNA replication	113	7	3.23	0.04240
GO:0009950	dorsal/ventral axis specification	47	4	1.34	0.04429
GO:0045187	regulation of circadian sleep/wake cycle...	29	3	0.83	0.04861
GO:0035303	regulation of dephosphorylation	29	3	0.83	0.04861
GO:0030431	sleep	70	5	2	0.04903
GO:1903046	meiotic cell cycle process	142	8	4.05	0.04999
