GO.ID	Term	Annotated	Significant	Expected	test
GO:0016567	protein ubiquitination	175	32	16.42	0.00016
GO:0007391	dorsal closure	93	20	8.73	0.00031
GO:0045893	positive regulation of transcription, DN...	296	46	27.78	0.00038
GO:0033500	carbohydrate homeostasis	39	12	3.66	0.00096
GO:0051171	regulation of nitrogen compound metaboli...	1347	180	126.42	0.00110
GO:0008582	regulation of synaptic growth at neuromu...	105	20	9.85	0.00158
GO:0007629	flight behavior	15	6	1.41	0.00159
GO:0051094	positive regulation of developmental pro...	183	30	17.17	0.00165
GO:0051961	negative regulation of nervous system de...	106	20	9.95	0.00178
GO:0050767	regulation of neurogenesis	192	31	18.02	0.00178
GO:0009408	response to heat	50	12	4.69	0.00182
GO:0007424	open tracheal system development	169	28	15.86	0.00198
GO:0033993	response to lipid	64	14	6.01	0.00203
GO:0016310	phosphorylation	626	84	58.75	0.00209
GO:0009996	negative regulation of cell fate specifi...	21	7	1.97	0.00223
GO:0110053	regulation of actin filament organizatio...	66	14	6.19	0.00276
GO:0030097	hemopoiesis	66	14	6.19	0.00276
GO:0080090	regulation of primary metabolic process	1366	180	128.2	0.00288
GO:0048803	imaginal disc-derived male genitalia mor...	22	7	2.06	0.00302
GO:0048666	neuron development	521	76	48.9	0.00304
GO:0007411	axon guidance	232	35	21.77	0.00306
GO:0010591	regulation of lamellipodium assembly	17	6	1.6	0.00335
GO:0043085	positive regulation of catalytic activit...	226	34	21.21	0.00365
GO:0030036	actin cytoskeleton organization	241	42	22.62	0.00368
GO:0007389	pattern specification process	383	52	35.95	0.00371
GO:0006357	regulation of transcription by RNA polym...	519	67	48.71	0.00371
GO:0035215	genital disc development	45	14	4.22	0.00382
GO:0007494	midgut development	35	9	3.28	0.00405
GO:0051017	actin filament bundle assembly	29	8	2.72	0.00416
GO:0010468	regulation of gene expression	1101	142	103.33	0.00420
GO:0051046	regulation of secretion	69	14	6.48	0.00423
GO:0040013	negative regulation of locomotion	18	6	1.69	0.00463
GO:0016570	histone modification	155	25	14.55	0.00484
GO:0042058	regulation of epidermal growth factor re...	49	11	4.6	0.00484
GO:0046843	dorsal appendage formation	36	9	3.38	0.00496
GO:0002759	regulation of antimicrobial humoral resp...	36	9	3.38	0.00496
GO:0010669	epithelial structure maintenance	24	7	2.25	0.00519
GO:0007300	ovarian nurse cell to oocyte transport	30	8	2.82	0.00522
GO:0010556	regulation of macromolecule biosynthetic...	966	131	90.66	0.00524
GO:2000113	negative regulation of cellular macromol...	301	42	28.25	0.00539
GO:0022603	regulation of anatomical structure morph...	224	33	21.02	0.00575
GO:0042067	establishment of ommatidial planar polar...	57	12	5.35	0.00576
GO:0006351	transcription, DNA-templated	902	120	84.65	0.00607
GO:1903507	negative regulation of nucleic acid-temp...	269	38	25.25	0.00648
GO:1901700	response to oxygen-containing compound	243	35	22.81	0.00650
GO:0031328	positive regulation of cellular biosynth...	387	62	36.32	0.00751
GO:0006836	neurotransmitter transport	104	18	9.76	0.00757
GO:0008340	determination of adult lifespan	112	19	10.51	0.00768
GO:0043405	regulation of MAP kinase activity	32	8	3	0.00793
GO:0010506	regulation of autophagy	74	14	6.95	0.00806
GO:0051146	striated muscle cell differentiation	97	17	9.1	0.00821
GO:0120034	positive regulation of plasma membrane b...	20	6	1.88	0.00822
GO:0007476	imaginal disc-derived wing morphogenesis	221	32	20.74	0.00836
GO:0032270	positive regulation of cellular protein ...	248	35	23.28	0.00890
GO:0060562	epithelial tube morphogenesis	372	59	34.91	0.00906
GO:0042593	glucose homeostasis	33	8	3.1	0.00963
GO:0071711	basement membrane organization	15	5	1.41	0.00970
GO:0046173	polyol biosynthetic process	15	5	1.41	0.00970
GO:0050768	negative regulation of neurogenesis	61	12	5.72	0.01004
GO:0010629	negative regulation of gene expression	412	53	38.67	0.01010
GO:0051252	regulation of RNA metabolic process	923	125	86.63	0.01060
GO:0031331	positive regulation of cellular cataboli...	84	15	7.88	0.01064
GO:0045944	positive regulation of transcription by ...	199	29	18.68	0.01075
GO:0051649	establishment of localization in cell	591	72	55.47	0.01085
GO:0045892	negative regulation of transcription, DN...	261	36	24.5	0.01143
GO:0048639	positive regulation of developmental gro...	77	14	7.23	0.01144
GO:0002784	regulation of antimicrobial peptide prod...	34	8	3.19	0.01159
GO:0002700	regulation of production of molecular me...	34	8	3.19	0.01159
GO:0071310	cellular response to organic substance	253	35	23.74	0.01200
GO:0010975	regulation of neuron projection developm...	93	16	8.73	0.01209
GO:0035725	sodium ion transmembrane transport	48	10	4.5	0.01214
GO:0050803	regulation of synapse structure or activ...	161	31	15.11	0.01215
GO:0060627	regulation of vesicle-mediated transport	117	19	10.98	0.01217
GO:0007526	larval somatic muscle development	28	7	2.63	0.01276
GO:0010259	multicellular organism aging	118	22	11.07	0.01278
GO:0022604	regulation of cell morphogenesis	134	21	12.58	0.01285
GO:0016358	dendrite development	134	21	12.58	0.01285
GO:0000209	protein polyubiquitination	63	12	5.91	0.01295
GO:0007303	cytoplasmic transport, nurse cell to ooc...	16	5	1.5	0.01304
GO:0007475	apposition of dorsal and ventral imagina...	16	5	1.5	0.01304
GO:0098739	import across plasma membrane	16	5	1.5	0.01304
GO:0007562	eclosion	16	5	1.5	0.01304
GO:0070887	cellular response to chemical stimulus	363	47	34.07	0.01337
GO:0045465	R8 cell differentiation	22	6	2.06	0.01346
GO:0048646	anatomical structure formation involved ...	384	54	36.04	0.01356
GO:0061844	antimicrobial humoral immune response me...	35	8	3.28	0.01382
GO:0002440	production of molecular mediator of immu...	35	8	3.28	0.01382
GO:0002775	antimicrobial peptide production	35	8	3.28	0.01382
GO:0120039	plasma membrane bounded cell projection ...	387	58	36.32	0.01409
GO:0048858	cell projection morphogenesis	387	58	36.32	0.01409
GO:0030154	cell differentiation	1287	173	120.79	0.01434
GO:0009896	positive regulation of catabolic process	95	16	8.92	0.01471
GO:0000904	cell morphogenesis involved in different...	414	61	38.85	0.01508
GO:0003002	regionalization	357	46	33.51	0.01551
GO:0006468	protein phosphorylation	392	54	36.79	0.01572
GO:0030855	epithelial cell differentiation	305	45	28.62	0.01575
GO:0051347	positive regulation of transferase activ...	88	15	8.26	0.01608
GO:0031323	regulation of cellular metabolic process	1396	186	131.02	0.01609
GO:0001752	compound eye photoreceptor fate commitme...	43	9	4.04	0.01646
GO:0007229	integrin-mediated signaling pathway	23	6	2.16	0.01680
GO:0071684	organism emergence from protective struc...	23	6	2.16	0.01680
GO:0033627	cell adhesion mediated by integrin	23	6	2.16	0.01680
GO:0051491	positive regulation of filopodium assemb...	17	5	1.6	0.01707
GO:0040034	regulation of development, heterochronic	17	5	1.6	0.01707
GO:0034248	regulation of cellular amide metabolic p...	121	19	11.36	0.01708
GO:0031175	neuron projection development	416	61	39.04	0.01718
GO:0051240	positive regulation of multicellular org...	189	27	17.74	0.01731
GO:0016482	cytosolic transport	58	11	5.44	0.01749
GO:0035218	leg disc development	81	14	7.6	0.01754
GO:0009719	response to endogenous stimulus	198	28	18.58	0.01764
GO:0000902	cell morphogenesis	489	69	45.89	0.01840
GO:0007155	cell adhesion	190	27	17.83	0.01844
GO:1903530	regulation of secretion by cell	66	12	6.19	0.01845
GO:0048865	stem cell fate commitment	30	7	2.82	0.01862
GO:0045595	regulation of cell differentiation	301	50	28.25	0.01892
GO:0002697	regulation of immune effector process	44	9	4.13	0.01903
GO:0048667	cell morphogenesis involved in neuron di...	374	56	35.1	0.01911
GO:0050773	regulation of dendrite development	37	8	3.47	0.01920
GO:0022610	biological adhesion	191	27	17.93	0.01964
GO:0043269	regulation of ion transport	59	11	5.54	0.01974
