GO.ID	Significant	test
GO:0019233	5	0.0024
GO:0072499	5	0.0027
GO:0051098	4	0.0031
GO:0007613	9	0.0040
GO:0007218	5	0.0055
GO:0042455	4	0.0063
GO:0070050	4	0.0074
GO:1900073	4	0.0098
GO:2001252	5	0.0108
GO:0007616	6	0.0128
GO:0052652	3	0.0145
GO:0006182	3	0.0145
GO:0006486	7	0.0162
GO:0009190	3	0.0172
GO:0043413	7	0.0173
GO:0009100	8	0.0193
GO:0097502	3	0.0202
GO:0070085	7	0.0220
GO:0009101	7	0.0260
GO:0030203	3	0.0269
GO:0098534	3	0.0269
GO:0007379	3	0.0306
GO:0007530	3	0.0306
GO:0007406	3	0.0306
GO:2000178	3	0.0306
GO:0046068	3	0.0306
GO:0018193	16	0.0358
GO:2000647	3	0.0388
GO:0010469	3	0.0433
GO:0009187	3	0.0433
GO:0022407	3	0.0481
