GO.ID	test
GO:0010468	0.0099
GO:0008049	0.0143
GO:0090503	0.0157
GO:0034661	0.0157
GO:0051705	0.0157
GO:0000466	0.0157
GO:0007619	0.0171
GO:0008298	0.0185
GO:0006476	0.0185
GO:0007631	0.0185
GO:0043632	0.0188
GO:0010629	0.0200
GO:0000460	0.0214
GO:0043628	0.0214
GO:0051260	0.0214
GO:0060179	0.0228
GO:0016073	0.0228
GO:0035601	0.0228
GO:0098732	0.0242
GO:1901264	0.0270
GO:0051259	0.0270
GO:0007617	0.0270
GO:0002252	0.0270
GO:0007618	0.0298
GO:0006355	0.0326
GO:1903506	0.0329
GO:2001141	0.0329
GO:0019098	0.0340
GO:0045814	0.0340
GO:0090305	0.0363
GO:0009952	0.0382
GO:0016070	0.0392
GO:0051252	0.0395
GO:0044265	0.0410
GO:0010605	0.0413
GO:0006351	0.0430
GO:0008344	0.0437
GO:0097659	0.0438
GO:0019219	0.0440
GO:2000112	0.0445
GO:0010556	0.0449
GO:0032774	0.0459
GO:0009892	0.0467
GO:0031326	0.0473
GO:0098542	0.0479
GO:0051704	0.0487
GO:0009889	0.0489
GO:0009057	0.0491
GO:0008643	0.0492
GO:0000956	0.0492
GO:0031123	0.0492
