GO.ID	Term	Annotated	Significant	Expected	test
GO:0050769	positive regulation of neurogenesis	74	8	1.58	0.00016
GO:0090090	negative regulation of canonical Wnt sig...	26	5	0.55	0.00019
GO:1902532	negative regulation of intracellular sig...	101	11	2.16	0.00025
GO:0007032	endosome organization	17	4	0.36	0.00038
GO:0008104	protein localization	544	24	11.61	0.00047
GO:0071407	cellular response to organic cyclic comp...	51	6	1.09	0.00070
GO:0044085	cellular component biogenesis	1041	39	22.22	0.00091
GO:0046667	compound eye retinal cell programmed cel...	22	4	0.47	0.00108
GO:0045746	negative regulation of Notch signaling p...	38	5	0.81	0.00118
GO:0051304	chromosome separation	39	5	0.83	0.00133
GO:0048469	cell maturation	151	10	3.22	0.00139
GO:1901699	cellular response to nitrogen compound	79	7	1.69	0.00141
GO:0003002	regionalization	357	17	7.62	0.00150
GO:0035194	posttranscriptional gene silencing by RN...	41	5	0.88	0.00167
GO:0044772	mitotic cell cycle phase transition	82	7	1.75	0.00175
GO:0051961	negative regulation of nervous system de...	106	8	2.26	0.00184
GO:0070507	regulation of microtubule cytoskeleton o...	42	5	0.9	0.00187
GO:0006897	endocytosis	185	11	3.95	0.00194
GO:0009605	response to external stimulus	637	25	13.6	0.00194
GO:0007405	neuroblast proliferation	64	6	1.37	0.00231
GO:0001709	cell fate determination	115	8	2.45	0.00308
GO:0048646	anatomical structure formation involved ...	384	17	8.2	0.00324
GO:0098722	asymmetric stem cell division	48	5	1.02	0.00339
GO:0045466	R7 cell differentiation	48	5	1.02	0.00339
GO:0045926	negative regulation of growth	96	7	2.05	0.00428
GO:0033045	regulation of sister chromatid segregati...	32	4	0.68	0.00450
GO:0007443	Malpighian tubule morphogenesis	32	4	0.68	0.00450
GO:0006396	RNA processing	432	18	9.22	0.00468
GO:0045732	positive regulation of protein catabolic...	53	5	1.13	0.00522
GO:0033554	cellular response to stress	507	20	10.82	0.00534
GO:0008283	cell proliferation	273	19	5.83	0.00544
GO:0007298	border follicle cell migration	102	7	2.18	0.00597
GO:0048017	inositol lipid-mediated signaling	18	3	0.38	0.00615
GO:0048477	oogenesis	456	22	9.73	0.00617
GO:0032270	positive regulation of cellular protein ...	248	12	5.29	0.00659
GO:0045475	locomotor rhythm	56	5	1.2	0.00660
GO:0045937	positive regulation of phosphate metabol...	131	8	2.8	0.00677
GO:0006511	ubiquitin-dependent protein catabolic pr...	218	11	4.65	0.00677
GO:0051649	establishment of localization in cell	591	22	12.61	0.00690
GO:0051302	regulation of cell division	36	4	0.77	0.00691
GO:0001578	microtubule bundle formation	36	4	0.77	0.00691
GO:0008284	positive regulation of cell proliferatio...	57	5	1.22	0.00711
GO:0000281	mitotic cytokinesis	57	5	1.22	0.00711
GO:0051098	regulation of binding	19	3	0.41	0.00719
GO:0006464	cellular protein modification process	1033	36	22.05	0.00733
GO:0007167	enzyme linked receptor protein signaling...	222	11	4.74	0.00773
GO:0016072	rRNA metabolic process	134	8	2.86	0.00773
GO:0048812	neuron projection morphogenesis	386	16	8.24	0.00797
GO:0009790	embryo development	428	20	9.13	0.00817
GO:0007444	imaginal disc development	422	17	9.01	0.00827
GO:0030203	glycosaminoglycan metabolic process	20	3	0.43	0.00832
GO:0098534	centriole assembly	20	3	0.43	0.00832
GO:0016579	protein deubiquitination	38	4	0.81	0.00838
GO:0010941	regulation of cell death	225	11	4.8	0.00851
GO:0032879	regulation of localization	390	16	8.32	0.00876
GO:0071310	cellular response to organic substance	253	16	5.4	0.00878
GO:0032006	regulation of TOR signaling	39	4	0.83	0.00918
GO:0010243	response to organonitrogen compound	111	7	2.37	0.00937
GO:0046580	negative regulation of Ras protein signa...	21	3	0.45	0.00956
GO:0045892	negative regulation of transcription, DN...	261	12	5.57	0.00973
GO:0007163	establishment or maintenance of cell pol...	169	9	3.61	0.00996
GO:0097190	apoptotic signaling pathway	40	4	0.85	0.01004
GO:0035220	wing disc development	295	13	6.3	0.01014
GO:0000280	nuclear division	200	10	4.27	0.01028
GO:0045666	positive regulation of neuron differenti...	63	5	1.34	0.01078
GO:0016246	RNA interference	22	3	0.47	0.01090
GO:0030148	sphingolipid biosynthetic process	22	3	0.47	0.01090
GO:0140014	mitotic nuclear division	116	7	2.48	0.01179
GO:0031401	positive regulation of protein modificat...	145	8	3.09	0.01215
GO:1901990	regulation of mitotic cell cycle phase t...	65	5	1.39	0.01225
GO:0010720	positive regulation of cell development	98	11	2.09	0.01234
GO:0035051	cardiocyte differentiation	23	3	0.49	0.01234
GO:0035304	regulation of protein dephosphorylation	23	3	0.49	0.01234
GO:0045010	actin nucleation	23	3	0.49	0.01234
GO:0031399	regulation of protein modification proce...	271	12	5.78	0.01286
GO:0048667	cell morphogenesis involved in neuron di...	374	15	7.98	0.01340
GO:0045165	cell fate commitment	239	15	5.1	0.01364
GO:0048285	organelle fission	209	10	4.46	0.01371
GO:1901987	regulation of cell cycle phase transitio...	67	5	1.43	0.01385
GO:0007091	metaphase/anaphase transition of mitotic...	24	3	0.51	0.01389
GO:0030178	negative regulation of Wnt signaling pat...	35	7	0.75	0.01394
GO:0006898	receptor-mediated endocytosis	44	4	0.94	0.01396
GO:0006357	regulation of transcription by RNA polym...	519	19	11.08	0.01408
GO:0007346	regulation of mitotic cell cycle	149	8	3.18	0.01415
GO:0007442	hindgut morphogenesis	41	6	0.88	0.01415
GO:0022607	cellular component assembly	897	31	19.14	0.01433
GO:0010721	negative regulation of cell development	68	5	1.45	0.01470
