GO.ID	Term	Annotated	Significant	Expected	test
GO:0030198	extracellular matrix organization	40	10	2.55	0.00015
GO:0030433	ubiquitin-dependent ERAD pathway	20	7	1.27	0.00015
GO:0055085	transmembrane transport	518	58	33.02	0.00018
GO:0046496	nicotinamide nucleotide metabolic proces...	43	10	2.74	0.00029
GO:0019395	fatty acid oxidation	22	7	1.4	0.00030
GO:1903532	positive regulation of secretion by cell	22	7	1.4	0.00030
GO:0006081	cellular aldehyde metabolic process	30	8	1.91	0.00043
GO:0017144	drug metabolic process	250	43	15.94	0.00048
GO:0034754	cellular hormone metabolic process	47	10	3	0.00061
GO:0006006	glucose metabolic process	25	7	1.59	0.00072
GO:0006090	pyruvate metabolic process	40	9	2.55	0.00074
GO:0062012	regulation of small molecule metabolic p...	35	8	2.23	0.00131
GO:0006639	acylglycerol metabolic process	28	7	1.78	0.00149
GO:0015711	organic anion transport	131	18	8.35	0.00155
GO:0008202	steroid metabolic process	55	10	3.51	0.00219
GO:0009152	purine ribonucleotide biosynthetic proce...	101	21	6.44	0.00219
GO:0072329	monocarboxylic acid catabolic process	30	7	1.91	0.00230
GO:0007029	endoplasmic reticulum organization	23	6	1.47	0.00258
GO:0070328	triglyceride homeostasis	23	6	1.47	0.00258
GO:0033500	carbohydrate homeostasis	39	8	2.49	0.00273
GO:0010876	lipid localization	117	16	7.46	0.00291
GO:0042775	mitochondrial ATP synthesis coupled elec...	25	6	1.59	0.00406
GO:0006637	acyl-CoA metabolic process	33	12	2.1	0.00416
GO:0072330	monocarboxylic acid biosynthetic process	85	24	5.42	0.00486
GO:1902600	proton transmembrane transport	43	8	2.74	0.00514
GO:0046890	regulation of lipid biosynthetic process	19	5	1.21	0.00567
GO:0006767	water-soluble vitamin metabolic process	19	5	1.21	0.00567
GO:0010821	regulation of mitochondrion organization	19	5	1.21	0.00567
GO:0044242	cellular lipid catabolic process	44	8	2.8	0.00594
GO:0006721	terpenoid metabolic process	20	5	1.27	0.00717
GO:0045924	regulation of female receptivity	20	5	1.27	0.00717
GO:0006099	tricarboxylic acid cycle	28	6	1.78	0.00734
GO:1901607	alpha-amino acid biosynthetic process	37	7	2.36	0.00791
GO:1901292	nucleoside phosphate catabolic process	37	7	2.36	0.00791
GO:0007620	copulation	21	5	1.34	0.00893
GO:0044262	cellular carbohydrate metabolic process	88	12	5.61	0.00954
GO:0019725	cellular homeostasis	167	19	10.65	0.00965
GO:0034976	response to endoplasmic reticulum stress	69	15	4.4	0.01064
GO:0009069	serine family amino acid metabolic proce...	22	5	1.4	0.01097
GO:0006641	triglyceride metabolic process	22	5	1.4	0.01097
GO:0006487	protein N-linked glycosylation	22	5	1.4	0.01097
GO:0006869	lipid transport	79	11	5.04	0.01101
GO:0044281	small molecule metabolic process	704	115	44.88	0.01163
GO:0071711	basement membrane organization	15	4	0.96	0.01266
GO:0044057	regulation of system process	50	8	3.19	0.01289
GO:0051222	positive regulation of protein transport	23	5	1.47	0.01330
GO:1904951	positive regulation of establishment of ...	23	5	1.47	0.01330
GO:0045455	ecdysteroid metabolic process	32	6	2.04	0.01424
GO:0042593	glucose homeostasis	33	6	2.1	0.01649
GO:0006757	ATP generation from ADP	25	5	1.59	0.01891
GO:0009062	fatty acid catabolic process	25	5	1.59	0.01891
GO:0042866	pyruvate biosynthetic process	25	5	1.59	0.01891
GO:0018208	peptidyl-proline modification	25	5	1.59	0.01891
GO:0009166	nucleotide catabolic process	34	6	2.17	0.01899
GO:0006457	protein folding	75	10	4.78	0.01992
GO:0006109	regulation of carbohydrate metabolic pro...	17	4	1.08	0.01995
GO:0062013	positive regulation of small molecule me...	17	4	1.08	0.01995
GO:0000096	sulfur amino acid metabolic process	17	4	1.08	0.01995
GO:0031110	regulation of microtubule polymerization...	17	4	1.08	0.01995
GO:0010817	regulation of hormone levels	82	16	5.23	0.02025
GO:0006164	purine nucleotide biosynthetic process	105	23	6.69	0.02094
GO:0002791	regulation of peptide secretion	26	5	1.66	0.02222
GO:0009066	aspartate family amino acid metabolic pr...	26	5	1.66	0.02222
GO:1901264	carbohydrate derivative transport	26	5	1.66	0.02222
GO:0006635	fatty acid beta-oxidation	18	4	1.15	0.02439
GO:0043010	camera-type eye development	18	4	1.15	0.02439
GO:0042335	cuticle development	112	13	7.14	0.02534
GO:0050708	regulation of protein secretion	19	4	1.21	0.02938
GO:0016126	sterol biosynthetic process	19	4	1.21	0.02938
GO:0009914	hormone transport	19	4	1.21	0.02938
GO:0046031	ADP metabolic process	28	5	1.78	0.02992
GO:0010038	response to metal ion	28	5	1.78	0.02992
GO:0008643	carbohydrate transport	38	6	2.42	0.03148
GO:0042180	cellular ketone metabolic process	59	8	3.76	0.03241
GO:0016311	dephosphorylation	140	15	8.92	0.03256
GO:0032787	monocarboxylic acid metabolic process	150	41	9.56	0.03318
GO:0006839	mitochondrial transport	49	7	3.12	0.03431
GO:0019233	sensory perception of pain	29	5	1.85	0.03433
GO:1901568	fatty acid derivative metabolic process	23	10	1.47	0.03463
GO:0006612	protein targeting to membrane	20	4	1.27	0.03493
GO:0006629	lipid metabolic process	389	62	24.8	0.03851
GO:1901615	organic hydroxy compound metabolic proce...	131	14	8.35	0.03880
GO:0010770	positive regulation of cell morphogenesi...	30	5	1.91	0.03912
GO:0009311	oligosaccharide metabolic process	21	4	1.34	0.04105
GO:0006997	nucleus organization	51	7	3.25	0.04151
GO:0098754	detoxification	51	7	3.25	0.04151
GO:0006631	fatty acid metabolic process	92	28	5.86	0.04154
GO:0019748	secondary metabolic process	62	8	3.95	0.04192
GO:0072521	purine-containing compound metabolic pro...	210	40	13.39	0.04424
GO:0015718	monocarboxylic acid transport	31	5	1.98	0.04429
GO:0019363	pyridine nucleotide biosynthetic process	31	5	1.98	0.04429
GO:0019359	nicotinamide nucleotide biosynthetic pro...	31	5	1.98	0.04429
GO:0006165	nucleoside diphosphate phosphorylation	31	5	1.98	0.04429
GO:0010035	response to inorganic substance	52	7	3.31	0.04545
GO:0034220	ion transmembrane transport	350	35	22.31	0.04767
GO:0000413	protein peptidyl-prolyl isomerization	22	4	1.4	0.04774
GO:0042147	retrograde transport, endosome to Golgi	22	4	1.4	0.04774
GO:0072507	divalent inorganic cation homeostasis	53	7	3.38	0.04962
GO:0046939	nucleotide phosphorylation	32	5	2.04	0.04986
GO:0035967	cellular response to topologically incor...	32	5	2.04	0.04986
