transcript	homolog	mean_AD	mean_CT	logFC	padj	module_AD	module_CT
TRINITY_DN10573_c0_g1	sp|O18330|MRJP1_APIME	9.4290523079927	15.6198850524079	1.1454945821342	0.149358747824619	9	notGCN
TRINITY_DN1118_c2_g1	sp|O18330|MRJP1_APIME	930.037464193487	1419.8223882806	1.03494093324431	1.56680623283852e-11	14	1
TRINITY_DN12024_c0_g2	sp|O18330|MRJP1_APIME	9.39307110076071	4.69653555038036	-4.94861870852636	0.000373021567367538	notGCN	notGCN
TRINITY_DN14958_c0_g1	sp|O18330|MRJP1_APIME	289.084528079099	322.940630781059	0.300748621168384	0.326965132109016	1	44
TRINITY_DN22392_c0_g4	sp|O18330|MRJP1_APIME	-	-	-	-	notGCN	notGCN
TRINITY_DN3034_c0_g1	sp|Q10416|HYTA_APIME	369.464417578718	1050.00712701713	2.08642900226263	0.0102113657398322	notGCN	26
TRINITY_DN3119_c0_g1	sp|A0A0K1YW63|SECP_APICE	42.110280945992	364.40738460799	3.8868037619735	1.67453900407541e-12	13	3
TRINITY_DN4054_c0_g1	sp|O18330|MRJP1_APIME	23.3992175191679	16.333649253897	-1.2408860587356	0.198265059894144	notGCN	13
TRINITY_DN4809_c0_g1	sp|O18330|MRJP1_APIME	317.18360694186	169.727683795228	-3.73877255649877	4.38051980281827e-16	1	35
TRINITY_DN4935_c0_g1	sp|O18330|MRJP1_APIME	536.145846291787	703.010221185349	0.693158838487077	0.0103704423435309	14	16
TRINITY_DN5279_c0_g1	sp|O18330|MRJP1_APIME	2190.39227500178	1408.75549725874	-1.79601464485935	1.26991341744017e-17	notGCN	16
